Catalogue	a	b	a-b	Normal_stress
m-1	0.001	0.01	-0.009000000000000001	100
m-2	0.01	0.02	-0.01	100
m-3	0.001	0.02	-0.019	100
m-4	0.001	0.008	-0.007	100
m-5	0.01	0.012	-0.002	100
m-6	0.001	0.012	-0.011	100
m-7	0.01	0.014	-0.004	100
m-8	0.001	0.014	-0.013000000000000001	100
m-9	0.01	0.016	-0.006	100
m-10	0.001	0.016	-0.015	100
m-11	0.01	0.018	-0.007999999999999998	100
m-12	0.001	0.018	-0.016999999999999998	100
m-13	0.003	0.01	-0.007	100
m-14	0.003	0.02	-0.017	100
m-15	0.003	0.008	-0.005	100
m-16	0.003	0.012	-0.009000000000000001	100
m-17	0.003	0.014	-0.011	100
m-18	0.003	0.016	-0.013000000000000001	100
m-19	0.003	0.018	-0.015	100
m-20	0.005	0.01	-0.005	100
m-21	0.005	0.02	-0.015	100
m-22	0.005	0.008	-0.003	100
m-23	0.005	0.012	-0.007	100
m-24	0.005	0.014	-0.009000000000000001	100
m-25	0.005	0.016	-0.011	100
m-26	0.005	0.018	-0.012999999999999998	100
m-27	0.008	0.01	-0.002	100
m-28	0.008	0.02	-0.012	100
m-29	0.008	0.012	-0.004	100
m-30	0.008	0.014	-0.006	100
m-31	0.008	0.016	-0.008	100
m-32	0.008	0.018	-0.009999999999999998	100
m-33	0.001	0.01	-0.009000000000000001	125
m-34	0.001	0.02	-0.019	125
m-35	0.01	0.02	-0.01	125
m-36	0.001	0.008	-0.007	125
m-37	0.01	0.012	-0.002	125
m-38	0.001	0.012	-0.011	125
m-39	0.01	0.014	-0.004	125
m-40	0.001	0.014	-0.013000000000000001	125
m-41	0.01	0.016	-0.006	125
m-42	0.001	0.016	-0.015	125
m-43	0.01	0.018	-0.007999999999999998	125
m-44	0.001	0.018	-0.016999999999999998	125
m-45	0.003	0.01	-0.007	125
m-46	0.003	0.02	-0.017	125
m-47	0.003	0.008	-0.005	125
m-48	0.003	0.012	-0.009000000000000001	125
m-49	0.003	0.014	-0.011	125
m-50	0.003	0.016	-0.013000000000000001	125
m-51	0.003	0.018	-0.015	125
m-52	0.005	0.01	-0.005	125
m-53	0.005	0.02	-0.015	125
m-54	0.005	0.008	-0.003	125
m-55	0.005	0.012	-0.007	125
m-56	0.005	0.014	-0.009000000000000001	125
m-57	0.005	0.016	-0.011	125
m-58	0.005	0.018	-0.012999999999999998	125
m-59	0.008	0.01	-0.002	125
m-60	0.008	0.02	-0.012	125
m-61	0.008	0.012	-0.004	125
m-62	0.008	0.014	-0.006	125
m-63	0.008	0.016	-0.008	125
m-64	0.008	0.018	-0.009999999999999998	125
m-65	0.001	0.01	-0.009000000000000001	150
m-66	0.01	0.02	-0.01	150
m-67	0.001	0.02	-0.019	150
m-68	0.001	0.008	-0.007	150
m-69	0.01	0.012	-0.002	150
m-70	0.001	0.012	-0.011	150
m-71	0.01	0.014	-0.004	150
m-72	0.001	0.014	-0.013000000000000001	150
m-73	0.001	0.016	-0.015	150
m-74	0.01	0.016	-0.006	150
m-75	0.001	0.018	-0.016999999999999998	150
m-76	0.01	0.018	-0.007999999999999998	150
m-77	0.003	0.01	-0.007	150
m-78	0.003	0.02	-0.017	150
m-79	0.003	0.008	-0.005	150
m-80	0.003	0.012	-0.009000000000000001	150
m-81	0.003	0.014	-0.011	150
m-82	0.003	0.016	-0.013000000000000001	150
m-83	0.003	0.018	-0.015	150
m-84	0.005	0.01	-0.005	150
m-85	0.005	0.02	-0.015	150
m-86	0.005	0.008	-0.003	150
m-87	0.005	0.012	-0.007	150
m-88	0.005	0.014	-0.009000000000000001	150
m-89	0.005	0.016	-0.011	150
m-90	0.005	0.018	-0.012999999999999998	150
m-91	0.008	0.01	-0.002	150
m-92	0.008	0.02	-0.012	150
m-93	0.008	0.012	-0.004	150
m-94	0.008	0.014	-0.006	150
m-95	0.008	0.016	-0.008	150
m-96	0.008	0.018	-0.009999999999999998	150
